Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
,,,,3101.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,2498.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,1318.0,Student loan,2017
,,,,1050.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,981.0,Student loan,2017
,,,,772.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,751.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,738.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,715.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,712.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,694.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,687.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,681.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,680.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,676.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,669.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,662.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,662.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,657.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,656.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,654.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,654.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,646.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,643.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,643.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,643.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,641.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,637.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,633.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,631.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,629.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,629.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,628.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,618.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,618.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
